ID,country,designation,points,price,province,region,variety,winery
0,US,Martha's Vineyard,96,235.0,California,Napa Valley,Cabernet Sauvignon,Heitz
1,Spain,Carodorum Selección Especial Reserva,96,110.0,Northern Spain,Toro,Tinta de Toro,Bodega Carmen Rodríguez
2,US,Special Selected Late Harvest,96,90.0,California,Knights Valley,Sauvignon Blanc,Macauley
3,US,Reserve,96,65.0,Oregon,Willamette Valley,Pinot Noir,Ponzi
4,France,La Brûlade,95,66.0,Provence,Bandol,Provence red blend,Domaine de la Bégude
5,Spain,Numanthia,95,73.0,Northern Spain,Toro,Tinta de Toro,Numanthia
6,Spain,San Román,95,65.0,Northern Spain,Toro,Tinta de Toro,Maurodos
7,Spain,Carodorum Único Crianza,95,110.0,Northern Spain,Toro,Tinta de Toro,Bodega Carmen Rodríguez
8,US,Silice,95,65.0,Oregon,Chehalem Mountains,Pinot Noir,Bergström
9,US,Gap's Crown Vineyard,95,60.0,California,Sonoma Coast,Pinot Noir,Blue Farm
10,Italy,Ronco della Chiesa,95,80.0,Northeastern Italy,Collio,Friulano,Borgo del Tiglio
11,US,Estate Vineyard Wadensvil Block,95,48.0,Oregon,Ribbon Ridge,Pinot Noir,Patricia Green Cellars
12,US,Weber Vineyard,95,48.0,Oregon,Dundee Hills,Pinot Noir,Patricia Green Cellars
13,France,Château Montus Prestige,95,90.0,Southwest France,Madiran,Tannat,Vignobles Brumont
14,US,Grace Vineyard,95,185.0,Oregon,Dundee Hills,Pinot Noir,Domaine Serene
15,US,Sigrid,95,90.0,Oregon,Willamette Valley,Chardonnay,Bergström
16,US,Rainin Vineyard,95,325.0,California,Diamond Mountain District,Cabernet Sauvignon,Hall
17,Spain,6 Años Reserva Premium,95,80.0,Northern Spain,Ribera del Duero,Tempranillo,Valduero
18,France,Le Pigeonnier,95,290.0,Southwest France,Cahors,Malbec,Château Lagrézette
19,US,Gap's Crown Vineyard,95,75.0,California,Sonoma Coast,Pinot Noir,Gary Farrell
20,US,Grignolino,95,24.0,California,Napa Valley,Rosé,Heitz
21,Spain,Prado Enea Gran Reserva,95,79.0,Northern Spain,Rioja,Tempranillo Blend,Muga
22,Spain,Termanthia,95,220.0,Northern Spain,Toro,Tinta de Toro,Numanthia
23,US,Giallo Solare,95,60.0,California,Edna Valley,Chardonnay,Center of Effort
24,US,R-Bar-R Ranch,95,45.0,California,Santa Cruz Mountains,Pinot Noir,Comartin
26,US,Shea Vineyard,94,62.0,Oregon,Willamette Valley,Pinot Noir,Bergström
27,US,Abetina,94,105.0,Oregon,Willamette Valley,Pinot Noir,Ponzi
28,US,Garys' Vineyard,94,60.0,California,Santa Lucia Highlands,Pinot Noir,Roar
29,US,The Funk Estate,94,60.0,Washington,Walla Walla Valley (WA),Syrah,Saviah
31,US,Babushka,90,37.0,California,Russian River Valley,Chardonnay,Zepaltas
33,France,Nonpareil Trésor Rosé Brut,90,22.0,France Other,Vin Mousseux,Sparkling Blend,Bouvet-Ladubay
34,US,Conner Lee Vineyard,90,42.0,Washington,Columbia Valley (WA),Chardonnay,Buty
35,Italy,Riserva,90,135.0,Tuscany,Brunello di Montalcino,Sangiovese,Carillon
39,Italy,Riserva,90,29.0,Tuscany,Chianti Classico,Red Blend,Castello di Monterinaldi
